id;matchDay;date;time;clubIdHome;clubIdGuest;goalsHome;goalsGuest
299;34;18.05.2024;13:30;15;8;2;1
300;34;18.05.2024;13:30;3;9;2;1
301;34;18.05.2024;13:30;17;4;2;2
302;34;18.05.2024;13:30;5;16;1;3
303;34;18.05.2024;13:30;7;2;4;2
304;34;18.05.2024;13:30;1;12;4;1
305;34;18.05.2024;13:30;11;10;4;0
306;34;18.05.2024;13:30;6;14;4;1
307;1;28.07.2023;18:30;19;20;5;3
308;1;29.07.2023;11:00;21;22;1;2
309;1;29.07.2023;11:00;23;24;2;2
310;1;29.07.2023;11:00;25;26;2;3
311;1;29.07.2023;11:00;27;28;1;1
312;1;29.07.2023;18:30;29;30;1;0
313;1;30.07.2023;11:30;31;32;5;0
314;1;30.07.2023;11:30;33;34;2;0
315;1;30.07.2023;11:30;35;36;0;1
316;2;04.08.2023;16:30;30;27;0;1
317;2;04.08.2023;16:30;32;25;1;1
318;2;05.08.2023;11:00;22;29;0;0
319;2;05.08.2023;11:00;36;31;2;1
320;2;05.08.2023;11:00;24;33;1;2
321;2;05.08.2023;18:30;20;21;3;0
322;2;06.08.2023;11:30;26;19;2;2
323;2;06.08.2023;11:30;28;35;2;1
324;2;06.08.2023;11:30;34;23;2;2
325;3;18.08.2023;16:30;21;24;3;2
326;3;18.08.2023;16:30;27;26;1;0
327;3;19.08.2023;11:00;29;32;1;2
328;3;19.08.2023;11:00;31;22;0;0
329;3;19.08.2023;11:00;33;23;1;2
330;3;19.08.2023;18:30;19;30;3;0
331;3;20.08.2023;11:30;36;28;2;4
332;3;20.08.2023;11:30;35;20;1;0
333;3;20.08.2023;11:30;25;34;2;3
334;4;25.08.2023;16:30;20;36;0;2
335;4;25.08.2023;16:30;32;21;1;2
336;4;26.08.2023;11:00;30;31;5;0
337;4;26.08.2023;11:00;33;25;2;1
338;4;26.08.2023;11:00;24;29;0;5
339;4;26.08.2023;18:30;23;19;0;1
340;4;27.08.2023;11:30;22;28;0;0
341;4;27.08.2023;11:30;26;35;2;0
342;4;27.08.2023;11:30;34;27;2;1
343;5;01.09.2023;16:30;29;26;3;1
344;5;01.09.2023;16:30;35;22;1;1
345;5;02.09.2023;11:00;36;32;2;1
346;5;02.09.2023;11:00;28;30;6;4
347;5;02.09.2023;11:00;27;20;1;1
348;5;02.09.2023;18:30;21;34;3;1
349;5;03.09.2023;11:30;19;33;2;0
350;5;03.09.2023;11:30;31;23;1;3
351;5;03.09.2023;11:30;25;24;0;1
352;6;15.09.2023;16:30;32;27;2;1
353;6;15.09.2023;16:30;34;31;1;1
354;6;16.09.2023;11:00;26;21;1;1
355;6;16.09.2023;11:00;33;29;1;3
356;6;16.09.2023;11:00;24;19;2;1
357;6;16.09.2023;18:30;20;28;4;3
358;6;17.09.2023;11:30;30;35;3;0
359;6;17.09.2023;11:30;22;36;5;1
360;6;17.09.2023;11:30;23;25;7;0
361;7;22.09.2023;16:30;28;32;1;1
362;7;22.09.2023;16:30;25;19;2;1
363;7;23.09.2023;11:00;31;26;4;3
364;7;23.09.2023;11:00;35;34;2;2
365;7;23.09.2023;11:00;27;24;0;2
366;7;23.09.2023;18:30;22;20;3;1
367;7;24.09.2023;11:30;29;23;1;1
368;7;24.09.2023;11:30;36;30;2;3
369;7;24.09.2023;11:30;21;33;3;1
370;8;29.09.2023;16:30;19;29;1;0
371;8;29.09.2023;16:30;32;20;3;1
372;8;30.09.2023;11:00;26;36;0;2
373;8;30.09.2023;11:00;23;27;2;0
374;8;30.09.2023;11:00;33;35;1;0
375;8;30.09.2023;18:30;30;22;1;2
376;8;01.10.2023;11:30;34;28;1;0
377;8;01.10.2023;11:30;24;31;1;1
378;8;01.10.2023;11:30;25;21;2;2
379;9;06.10.2023;16:30;29;25;1;1
380;9;06.10.2023;16:30;21;23;3;1
381;9;07.10.2023;11:00;28;26;1;1
382;9;07.10.2023;11:00;31;33;1;0
383;9;07.10.2023;11:00;27;19;1;1
384;9;07.10.2023;18:30;22;34;5;1
385;9;08.10.2023;11:30;20;30;1;2
386;9;08.10.2023;11:30;36;24;1;1
387;9;08.10.2023;11:30;35;32;1;3
388;10;20.10.2023;16:30;23;28;2;1
389;10;20.10.2023;16:30;24;35;3;0
390;10;21.10.2023;11:00;19;31;2;0
391;10;21.10.2023;11:00;32;22;2;2
392;10;21.10.2023;11:00;25;27;0;2
393;10;21.10.2023;18:30;29;21;4;3
394;10;22.10.2023;11:30;26;20;3;0
395;10;22.10.2023;11:30;33;36;1;3
396;10;22.10.2023;11:30;34;30;3;1
397;11;27.10.2023;16:30;31;25;4;0
398;11;27.10.2023;16:30;35;29;1;4
399;11;28.10.2023;11:00;20;23;3;2
400;11;28.10.2023;11:00;30;32;3;1
401;11;28.10.2023;11:00;22;26;2;1
402;11;28.10.2023;18:30;21;19;3;3
403;11;29.10.2023;12:30;36;34;0;2
404;11;29.10.2023;12:30;28;24;1;2
405;11;29.10.2023;12:30;27;33;1;0
406;12;03.11.2023;17:30;29;27;1;3
407;12;03.11.2023;17:30;24;22;0;2
408;12;04.11.2023;12:00;21;31;0;2
409;12;04.11.2023;12:00;34;20;1;2
410;12;04.11.2023;12:00;25;36;1;1
411;12;04.11.2023;19:30;19;28;2;0
412;12;05.11.2023;12:30;26;32;0;3
413;12;05.11.2023;12:30;23;35;2;0
414;12;05.11.2023;12:30;33;30;0;0
415;13;10.11.2023;17:30;20;24;1;2
416;13;10.11.2023;17:30;22;23;0;0
417;13;11.11.2023;12:00;32;34;1;3
418;13;11.11.2023;12:00;36;19;4;2
419;13;11.11.2023;12:00;35;25;3;2
420;13;11.11.2023;19:30;30;26;2;2
421;13;12.11.2023;12:30;28;33;1;2
422;13;12.11.2023;12:30;31;29;1;0
423;13;12.11.2023;12:30;27;21;2;1
424;14;24.11.2023;17:30;19;35;2;1
425;14;24.11.2023;17:30;23;30;2;2
426;14;25.11.2023;12:00;33;22;2;3
427;14;25.11.2023;12:00;24;32;4;1
428;14;25.11.2023;12:00;25;28;0;2
429;14;25.11.2023;19:30;29;20;5;3
430;14;26.11.2023;12:30;26;34;4;1
431;14;26.11.2023;12:30;21;36;0;3
432;14;26.11.2023;12:30;31;27;2;0
433;15;01.12.2023;17:30;20;25;4;0
434;15;01.12.2023;17:30;22;19;2;2
435;15;02.12.2023;12:00;36;27;3;2
436;15;02.12.2023;12:00;34;29;0;5
437;15;02.12.2023;12:00;35;31;0;1
